Date,Hour,DryBulb,DewPnt,WetBulb,Humidity,ElecPrice,SYSLoad
1/1/06,17,43.2,12.4,24.1,16,103.93,10997.89667
1/1/06,17.5,42.5,12.2,23.8,16.5,73.93,11026.05
1/1/06,18,41.8,12,23.5,17,60.38,11009.98667
1/1/06,18.5,40.55,13.05,23.5,20.00000001,48.13,10923.48667
1/1/06,19,39.29999999,14.1,23.5,23.00000001,45.25,10894.9
1/1/06,19.5,38.2,14.95,23.5,25.5,49.16,10952.21833
1/1/06,20,37.1,15.8,23.5,28,49.01,11112.76333
1/1/06,20.5,31.14999998,17.4,22.35,48.50000006,40.53,10821.02
1/1/06,21,25.2,19,21.2,69,26.9,10247.085
1/1/06,21.5,24.5,19.1,21.05,72.00000001,20.94,9842.20667
1/1/06,22,23.8,19.2,20.9,75,18.48,9345.815
1/1/06,22.5,23.45,18.9,20.6,75.5,17.63,8924.16
1/1/06,23,23.1,18.6,20.3,76,16.87,8416.87333
1/1/06,23.5,22.95,18.5,20.15,76,16.84,8044.81833
2/1/06,0,22.8,18.4,20,76,16.37,7737.02833
2/1/06,0.5,22.85,18.1,19.85,74.5,15.35,7378.52333
2/1/06,1,22.9,17.8,19.7,73.00000002,15.1,7146.215
2/1/06,1.5,22.45,18.05,19.7,76.5,15.12,6852.245
2/1/06,2,22,18.3,19.7,80,15.1,6643.685
2/1/06,2.5,21.75,18.05,19.45,79.5,15.07,6529.54833
2/1/06,3,21.5,17.8,19.2,79,15.1,6448.595
2/1/06,3.5,21.25,17.8,19.1,80.5,15.01,6375.28833
2/1/06,4,21,17.8,19,82.00000002,14.8,6364.80333
2/1/06,4.5,20.85,18.2,19.2,85,15.07,6423.77333
2/1/06,5,20.7,18.6,19.4,88,15.02,6427.65333
2/1/06,5.5,20.15,18.4,19.05,90.00000001,14.22,6568.18833
2/1/06,6,19.6,18.2,18.7,92,15.07,6636.45667
2/1/06,6.5,19.5,18,18.55,91,14.08,6802.52833
2/1/06,7,19.4,17.8,18.4,90,15.1,6990.35833
2/1/06,7.5,19.45,17.75,18.4,89.5,15.18,7159.07
2/1/06,8,19.5,17.7,18.4,89,15.58,7482.43833
2/1/06,8.5,19.6,17.6,18.4,88,15.94,7721.50833
2/1/06,9,19.7,17.5,18.4,87,16.78,8007.92
2/1/06,9.5,19.9,17.4,18.4,85.5,16.84,8194.55833
2/1/06,10,20.1,17.3,18.4,84,16.92,8287.84
2/1/06,10.5,20.25,17.55,18.6,84.5,17,8354.12167
2/1/06,11,20.4,17.8,18.8,85,17,8398.81333
2/1/06,11.5,20.7,17.2,18.55,80.49999999,17,8348.86
2/1/06,12,21,16.6,18.3,76,17,8341.38667
2/1/06,12.5,21.45,16.9,18.65,75.5,17.18,8324.505
2/1/06,13,21.9,17.2,19,74.99999999,17,8322.00667
2/1/06,13.5,21.6,16.75,18.65,74,17,8303.15167
2/1/06,14,21.3,16.3,18.3,73,17.04,8314.05333
2/1/06,14.5,21.3,16.7,18.5,75.00000001,17.03,8319.595
2/1/06,15,21.3,17.1,18.7,77,16.97,8327.145
2/1/06,15.5,21.3,16.75,18.5,75.5,17.11,8328.98
2/1/06,16,21.3,16.4,18.3,74,17.26,8351.05
2/1/06,16.5,21.25,16.5,18.35,74.5,17.6,8389.24
2/1/06,17,21.2,16.6,18.4,75,17.9,8456.72833
2/1/06,17.5,21.1,16.7,18.4,76,17.4,8353.72333
2/1/06,18,21,16.8,18.4,77,17.2,8334.12667
2/1/06,18.5,20.9,17,18.5,78.5,16.86,8191.81
2/1/06,19,20.8,17.2,18.6,80,16.86,8087.22333
2/1/06,19.5,20.8,17.2,18.6,80,16.87,8056.53667
2/1/06,20,20.8,17.2,18.6,80,17,8280.22
2/1/06,20.5,20.7,17.25,18.6,80.5,16.87,8096.09333
2/1/06,21,20.6,17.3,18.6,81,16.84,7884.9
2/1/06,21.5,20.45,17.4,18.6,82.5,16.84,7911.675
2/1/06,22,20.3,17.5,18.6,84.00000001,16.51,7816.335
2/1/06,22.5,20.2,17.6,18.6,85,16.29,7808.34833
2/1/06,23,20.1,17.7,18.6,86,16.25,7632.93667
2/1/06,23.5,20.1,17.75,18.65,86.5,16.43,7429.40333
3/1/06,0,20.1,17.8,18.7,87,15.88,7254.75333
3/1/06,0.5,20,17.85,18.7,87.5,15.43,7069.56833
3/1/06,1,19.9,17.9,18.7,88,15.08,6853.235
3/1/06,1.5,19.85,17.9,18.65,88.5,15.28,6521.88
3/1/06,2,19.8,17.9,18.6,89,14.69,6255.02833
3/1/06,2.5,19.75,18,18.65,89.5,12.49,6090.655
3/1/06,3,19.7,18.1,18.7,90,11.82,6046.28333
3/1/06,3.5,19.65,17.9,18.55,89.5,11.01,6035.49833
3/1/06,4,19.6,17.7,18.4,89,10.7,6040.67667
3/1/06,4.5,19.6,17.85,18.5,89.5,12.12,6143.955
3/1/06,5,19.6,18,18.6,90,13.84,6316.1
3/1/06,5.5,19.65,18.15,18.7,91,15.02,6706.71667
3/1/06,6,19.7,18.3,18.8,92,16.06,7114.53
3/1/06,6.5,19.95,18.2,18.85,89.99999999,15.36,7488.11833
3/1/06,7,20.20000001,18.1,18.9,87.99999997,16.33,7939.335
3/1/06,7.5,21.25,18.3,19.4,83.5,16.84,8431.57333
3/1/06,8,22.3,18.5,19.9,79,16.95,8885.89667
3/1/06,8.5,23.75,17.95,20.1,70.49999998,17.93,9354.92167
3/1/06,9,25.2,17.4,20.3,62,18.78,9577.29
3/1/06,9.5,27.00000001,14.19999999,19.45,47.49999996,19.92,9787.94
3/1/06,10,28.80000001,11,18.6,33,23.63,9957.565
3/1/06,10.5,29.7,11.65,19.2,33,28.25,10097.47167
3/1/06,11,30.6,12.3,19.8,33,33.55,10197.69167
3/1/06,11.5,29.5,12.75,19.6,36.00000001,46.16,10313.15
3/1/06,12,28.4,13.2,19.4,39,47.12,10326.965
3/1/06,12.5,27.9,14.55,19.85,44.50000002,57.96,10441.28333
3/1/06,13,27.4,15.9,20.3,50.00000001,72.93,10536.01167
3/1/06,13.5,27.15,16.45,20.5,52.5,106.03,10658.27
3/1/06,14,26.9,17,20.7,55,159.06,10674.235
3/1/06,14.5,26.8,17.35,20.85,56.5,186.86,10647.035
3/1/06,15,26.7,17.7,21,58,268.05,10671.07667
3/1/06,15.5,26.45,18.05,21.1,60.00000001,195.79,10642.90167
3/1/06,16,26.19999999,18.4,21.2,62.00000001,212.73,10606.66833
3/1/06,16.5,25.3,17.9,20.6,63.5,52.29,10439.75333
3/1/06,17,24.4,17.4,20,65,57.62,10246.81
3/1/06,17.5,23.6,17,19.5,66.5,41.49,9837.41167
3/1/06,18,22.8,16.6,19,68,26.26,9631.52333
3/1/06,18.5,22.45,16.65,18.9,69.5,17.13,9280.94667
3/1/06,19,22.1,16.7,18.8,71,16.97,8988.575
3/1/06,19.5,21.8,16.35,18.5,71,17,8951.84167
3/1/06,20,21.5,16,18.2,71,17.64,8967.45667
3/1/06,20.5,21.25,15.85,18,71.5,18.03,8740.82667
3/1/06,21,21,15.7,17.8,72,16.93,8452.16833
3/1/06,21.5,21,15.95,17.95,73,16.88,8436.54167
3/1/06,22,21,16.2,18.1,74,16.91,8259.34667
3/1/06,22.5,20.95,16.05,18,73.5,16.93,8184.60333
3/1/06,23,20.9,15.9,17.9,73,16.87,8010.57667
3/1/06,23.5,20.8,15.8,17.8,73,16.87,7780.86167
4/1/06,0,20.7,15.7,17.7,73,16.8,7526.44167
4/1/06,0.5,20.7,15.7,17.7,73,16.71,7340.255
4/1/06,1,20.7,15.7,17.7,73,16.57,7113.48333
4/1/06,1.5,20.85,15.8,17.8,73,16.55,6772.77
4/1/06,2,21,15.9,17.9,73,15.51,6490.73167
4/1/06,2.5,20.8,15.85,17.8,73.5,15.97,6332.30333
4/1/06,3,20.6,15.8,17.7,74,15.53,6252.63333
4/1/06,3.5,20.45,15.5,17.5,73.5,15.29,6232.96667
4/1/06,4,20.3,15.2,17.3,73,15.17,6250.015
4/1/06,4.5,20.2,15,17.15,72.5,16.08,6422.30833
4/1/06,5,20.1,14.8,17,72,16.36,6609.35667
4/1/06,5.5,19.85,14.65,16.8,72,15.94,6995.36333
4/1/06,6,19.6,14.5,16.6,72,16.27,7333.25833
4/1/06,6.5,19.8,14.1,16.5,69.49999999,16.46,7638.99833
4/1/06,7,20,13.7,16.4,67,16.76,8009.26167
4/1/06,7.5,20.1,13.85,16.5,67.5,16.84,8336.075
4/1/06,8,20.2,14,16.6,68,16.97,8615.20333
4/1/06,8.5,20.05,14.05,16.6,68.5,17.05,8957.15333
4/1/06,9,19.9,14.1,16.6,69,17.89,9037.27667
4/1/06,9.5,19.75,14.3,16.6,70.5,19.64,9102.865
4/1/06,10,19.6,14.5,16.6,72,17.66,9115.16167
4/1/06,10.5,19.7,14.5,16.65,71.5,19.45,9092.605
4/1/06,11,19.8,14.5,16.7,71,17.27,9065.49667
4/1/06,11.5,19.85,14.65,16.8,71.5,18.44,8938.875
4/1/06,12,19.9,14.8,16.9,72,19.36,8949.79
4/1/06,12.5,20,15,17.05,72.5,19.06,9016.86833
4/1/06,13,20.1,15.2,17.2,73,19.13,8940.05667
4/1/06,13.5,20.2,15.2,17.25,73,17.09,8884.26667
4/1/06,14,20.3,15.2,17.3,73,16.86,8863.56167
4/1/06,14.5,20.25,15.05,17.2,72.5,16.84,8838.27167
4/1/06,15,20.2,14.9,17.1,72,16.92,8890.97333
4/1/06,15.5,20.35,14.9,17.15,71,16.85,8917.07667
4/1/06,16,20.5,14.9,17.2,70,16.84,8864.67667
4/1/06,16.5,20.7,15.05,17.35,70,16.93,8871.46167
4/1/06,17,20.9,15.2,17.5,70,16.84,8787.24833
4/1/06,17.5,20.85,15.05,17.4,69.5,16.84,8569.93833
4/1/06,18,20.8,14.9,17.3,69,16.84,8497.72167
4/1/06,18.5,20.7,14.95,17.3,69.5,16.68,8284.92167
4/1/06,19,20.6,15,17.3,70.00000001,16.26,8122.15333
4/1/06,19.5,20.6,15.2,17.4,71,16.84,8243.82333
4/1/06,20,20.6,15.4,17.5,72,16.84,8328.74
4/1/06,20.5,20.6,15.5,17.55,72.5,16.87,8165.08667
4/1/06,21,20.6,15.6,17.6,73,16.76,7936.01667
4/1/06,21.5,20.55,15.7,17.65,73.5,16.84,8035.38333
4/1/06,22,20.5,15.8,17.7,74.00000001,16.78,7928.495
4/1/06,22.5,20.4,16,17.75,75.5,16.87,7931.40167
4/1/06,23,20.3,16.2,17.8,77,16.81,7812.46667
4/1/06,23.5,19.9,16.5,17.85,80.50000001,16.87,7629.6
5/1/06,0,19.5,16.8,17.9,84,16.62,7467.54167
5/1/06,0.5,19.35,16.95,17.9,86.00000001,16.1,7270.78833
5/1/06,1,19.2,17.1,17.9,88.00000001,16.43,7066.65333
5/1/06,1.5,19.1,17.5,18.1,90.5,15.97,6712.65667
5/1/06,2,19,17.9,18.3,93,15.3,6408.31
5/1/06,2.5,18.85,17.75,18.15,93,15,6189.755
5/1/06,3,18.7,17.6,18,93,14.8,6086.95833
5/1/06,3.5,18.65,17.65,18,94,14.49,6062.905
5/1/06,4,18.6,17.7,18,95,13.78,6095.85667
5/1/06,4.5,18.5,17.65,17.95,95,15.02,6240.735
5/1/06,5,18.4,17.6,17.9,95,15.1,6446.30333
5/1/06,5.5,18.7,18,18.25,95.5,15.67,6835.52333
5/1/06,6,19,18.4,18.6,96,15.84,7209.67833
5/1/06,6.5,19.55,18.7,19,94.5,15.97,7556.89833
5/1/06,7,20.1,19,19.4,92.99999999,16.15,7944.99667
5/1/06,7.5,20.3,19,19.5,92,16.65,8279.40167
5/1/06,8,20.5,19,19.6,91,16.92,8449.71667
5/1/06,8.5,20.85,19,19.7,88.99999999,16.98,8836.89667
5/1/06,9,21.2,19,19.8,87,17,9030.35333
5/1/06,9.5,21.3,18,19.25,81.49999998,16.98,9089.92667
5/1/06,10,21.4,17,18.7,76.00000002,17.05,9145.73833
5/1/06,10.5,21.45,17.7,19.15,79.5,16.97,9141.73833
5/1/06,11,21.5,18.4,19.6,83,17,9103.31333
5/1/06,11.5,20.85,17.85,19,83,16.99,9081.44
5/1/06,12,20.2,17.3,18.4,83,16.98,9034.89667
5/1/06,12.5,20.1,17.25,18.35,83.5,16.99,9059.28333
5/1/06,13,20,17.2,18.3,84.00000001,16.97,9018.345
5/1/06,13.5,19.8,17.5,18.4,86.5,16.51,8929.175
5/1/06,14,19.6,17.8,18.5,89,16.92,8952.62167
5/1/06,14.5,19.4,17.75,18.4,90,17.03,8909.26833
5/1/06,15,19.2,17.7,18.3,91,18.64,8913.96
5/1/06,15.5,19.1,17.65,18.2,91.5,19.18,8908.565
5/1/06,16,19,17.6,18.1,92.00000001,17.25,8983.31167
5/1/06,16.5,18.95,17.75,18.2,93,17.03,9001.805
5/1/06,17,18.9,17.9,18.3,94,17.11,9044.885
5/1/06,17.5,18.9,17.85,18.25,93.5,16.99,8876.29833
5/1/06,18,18.9,17.8,18.2,93,16.94,8771.89167
5/1/06,18.5,18.9,17.8,18.2,93,16.84,8593.185
5/1/06,19,18.9,17.8,18.2,93.00000001,16.89,8478.74
5/1/06,19.5,18.95,18,18.35,94,16.99,8480.69333
5/1/06,20,19,18.2,18.5,95,16.84,8542.62333
5/1/06,20.5,19.15,18.45,18.7,95.5,16.89,8241.53833
5/1/06,21,19.3,18.7,18.9,96,16.82,8009.84333
5/1/06,21.5,19.55,18.95,19.15,96,16.84,8074.20167
5/1/06,22,19.8,19.2,19.4,96,16.22,7824.55833
5/1/06,22.5,19.85,19.1,19.35,95.5,16.84,7955.73833
5/1/06,23,19.9,19,19.3,95,16.46,7842.08167
5/1/06,23.5,20.25,19.25,19.6,94,16.76,7728.87333
6/1/06,0,20.6,19.5,19.9,93,16,7536.12333
6/1/06,0.5,20.3,19.6,19.85,95.50000001,16.02,7351.495
6/1/06,1,20,19.7,19.8,98,15.62,7075.27167
6/1/06,1.5,20.1,19.8,19.9,98,15.53,6745.605
6/1/06,2,20.2,19.9,20,98,15.1,6373.425
6/1/06,2.5,20.1,19.8,19.9,98,14.36,6193.19333
6/1/06,3,20,19.7,19.8,98,12.96,6100.96833
6/1/06,3.5,20.1,19.7,19.85,97.5,12.27,6103.505
6/1/06,4,20.2,19.7,19.9,97,12,6135.67
6/1/06,4.5,20.35,19.75,20,96.5,14.68,6273.98667
6/1/06,5,20.5,19.8,20.1,96,14.96,6468.90667
6/1/06,5.5,20.85,19.4,19.95,91.49999999,15.42,6869.505
6/1/06,6,21.2,19,19.8,87,16.36,7231.08167
6/1/06,6.5,21.55,18.95,19.9,84.99999999,15.04,7570.15667
6/1/06,7,21.9,18.9,20,82.99999999,16.22,7925.63667
6/1/06,7.5,22.25,18.7,20,80.5,16.31,8362.99667
6/1/06,8,22.6,18.5,20,78,16.84,8703.20833
6/1/06,8.5,23.2,18.5,20.2,74.99999999,16.98,9049.52
6/1/06,9,23.8,18.5,20.4,72,17,9208.065
6/1/06,9.5,23.9,18.05,20.2,69.49999999,17.49,9353.45167
6/1/06,10,24,17.6,20,67.00000001,17.8,9393.59667
6/1/06,10.5,24,17.95,20.2,68.5,17.5,9349.065
6/1/06,11,24,18.3,20.4,70,18.95,9449.09667
6/1/06,11.5,23.6,18.45,20.35,72.50000001,19.29,9434.12167
6/1/06,12,23.2,18.6,20.3,75,19.08,9479.70667
6/1/06,12.5,23.55,18.5,20.35,72.99999999,19.52,9507.17167
6/1/06,13,23.9,18.4,20.4,70.99999998,19.5,9518.45833
6/1/06,13.5,24.75,18.45,20.75,68,19.64,9541.34833
6/1/06,14,25.6,18.5,21.1,65,19.66,9589.825
6/1/06,14.5,25.95,18.75,21.35,64.5,19.36,9611.14
6/1/06,15,26.3,19,21.6,64,19.48,9612.58667
6/1/06,15.5,25.2,19.05,21.25,69.00000001,19.63,9673.71
6/1/06,16,24.1,19.1,20.9,74,19.7,9618.33
6/1/06,16.5,24.05,19.25,20.95,74.5,19.6,9555.03
6/1/06,17,24,19.4,21,75,18.94,9404.53667
6/1/06,17.5,23.45,19.6,20.95,79.00000001,17.31,9104.795
6/1/06,18,22.9,19.8,20.9,83,17,8928.02667
6/1/06,18.5,22.4,19.35,20.45,83,16.87,8689.27
6/1/06,19,21.9,18.9,20,82.99999999,16.84,8530.55333
6/1/06,19.5,21.55,18.3,19.5,81.5,16.84,8474.36333
6/1/06,20,21.2,17.7,19,80,16.84,8452.73833
6/1/06,20.5,21.15,17.7,19,80.5,16.89,8276.66167
6/1/06,21,21.1,17.7,19,81,16.59,8018.165
6/1/06,21.5,20.9,17.4,18.75,80.5,16.51,8142.41167
6/1/06,22,20.7,17.1,18.5,80,16.35,8091.98
6/1/06,22.5,20.75,17.25,18.6,80.5,16.65,8142.59667
6/1/06,23,20.8,17.4,18.7,81,16.34,7995.39167
6/1/06,23.5,20.6,18.05,19,85.50000001,16.68,7819.59
7/1/06,0,20.4,18.7,19.3,90,16.19,7619.9
7/1/06,0.5,20.2,18.8,19.3,91.5,15.61,7390.98
7/1/06,1,20,18.9,19.3,93,15.47,7084.75833
7/1/06,1.5,19.85,18.75,19.15,93,15.84,6742.41333
7/1/06,2,19.7,18.6,19,93,15.21,6433.325
7/1/06,2.5,19.55,18.4,18.85,93,14.8,6251.47333
7/1/06,3,19.4,18.2,18.7,93,12.67,6110.9
7/1/06,3.5,19.45,18.05,18.6,91.5,11.28,6035.61167
7/1/06,4,19.5,17.9,18.5,89.99999999,10,5979.96667
7/1/06,4.5,19.75,17.75,18.5,88,11.77,6094.54167
7/1/06,5,20,17.6,18.5,86,11.93,6165.06833
7/1/06,5.5,20.35,17.5,18.6,83.49999999,12.48,6216.08833
7/1/06,6,20.7,17.4,18.7,81,13.68,6366.43333
7/1/06,6.5,21.45,17.25,18.9,76.99999999,15.08,6640.70667
7/1/06,7,22.2,17.1,19.1,72.99999999,15.21,7005.09
7/1/06,7.5,22.55,17.25,19.3,72,15.62,7439.02333
7/1/06,8,22.9,17.4,19.5,71,16.31,7846.22333
7/1/06,8.5,23.2,17.4,19.6,70,16.87,8219.12667
7/1/06,9,23.5,17.4,19.7,69,16.98,8341.635
7/1/06,9.5,24.2,17.35,19.95,65.99999999,17.46,8530.06333
7/1/06,10,24.9,17.3,20.2,63,17.79,8541.365
7/1/06,10.5,24.65,17.25,20.05,63.5,18.23,8539.335
7/1/06,11,24.4,17.2,19.9,64,17.63,8508.52833
7/1/06,11.5,25,17.45,20.25,63,17.13,8447.73667
7/1/06,12,25.6,17.7,20.6,62,17,8441.68833
7/1/06,12.5,25.45,17.7,20.55,62.5,17,8412.95167
7/1/06,13,25.3,17.7,20.5,62.99999999,17,8361.135
7/1/06,13.5,25.6,17.55,20.55,61,16.96,8283.93
7/1/06,14,25.9,17.4,20.6,59,16.92,8215.245
7/1/06,14.5,25.7,17.75,20.7,61.50000001,16.99,8203.15
7/1/06,15,25.5,18.1,20.8,64,17,8249.59
7/1/06,15.5,25.5,17.55,20.5,61.49999999,17,8274.58333
7/1/06,16,25.5,17,20.2,59.00000001,17.07,8309.725
7/1/06,16.5,25.3,17.2,20.25,60.5,17,8155.98833
7/1/06,17,25.1,17.4,20.3,62,17.1,8190.38333
7/1/06,17.5,24.4,17.8,20.25,66.50000001,17,8149.09333
7/1/06,18,23.7,18.2,20.2,71,16.99,8094.035
7/1/06,18.5,22.9,18.5,20.1,76.50000002,16.84,8024.53333
7/1/06,19,22.1,18.8,20,82.00000003,16.53,7856.85667
7/1/06,19.5,21.25,18.85,19.75,86.5,16.28,7899.585
7/1/06,20,20.4,18.9,19.5,91,16.94,8134.78
7/1/06,20.5,20.65,18.95,19.6,90,16.94,7995.06
7/1/06,21,20.9,19,19.7,89,16.84,7925.40333
7/1/06,21.5,21.3,18.05,19.3,81.99999998,16.54,7820.63
7/1/06,22,21.7,17.1,18.9,75,16.1,7730.66
7/1/06,22.5,21.7,17.2,18.95,75.5,16.01,7744.665
7/1/06,23,21.7,17.3,19,76,15.72,7489.53833
7/1/06,23.5,21.7,17.55,19.15,77.5,15.66,7282.68833
8/1/06,0,21.7,17.8,19.3,79,15.44,7075.85167
8/1/06,0.5,21.6,18.05,19.4,80.5,15.18,6886.97
8/1/06,1,21.5,18.3,19.5,82.00000001,15.08,6658.70833
8/1/06,1.5,21.4,18.45,19.55,83.5,15.37,6384.72
8/1/06,2,21.3,18.6,19.6,85,15.12,6129.59833
8/1/06,2.5,21.5,18.55,19.65,83.5,14.6,6047.925
8/1/06,3,21.7,18.5,19.7,82,12.61,5925.18167
8/1/06,3.5,21.65,18.4,19.6,82,11.67,5897.14
8/1/06,4,21.6,18.3,19.5,82,10.78,5841.69333
8/1/06,4.5,21.5,18.35,19.5,82.5,11.63,5892.83667
8/1/06,5,21.4,18.4,19.5,83,10.41,5884.89167
8/1/06,5.5,21.6,18.3,19.55,81.5,11.68,6000.27667
8/1/06,6,21.8,18.2,19.6,80,12.62,6098.82667
8/1/06,6.5,22.25,18.15,19.7,77.49999999,14.32,6305.275
8/1/06,7,22.7,18.1,19.8,74.99999999,14.41,6651.26667
8/1/06,7.5,23.05,17.95,19.85,73,15.37,6960.22667
8/1/06,8,23.4,17.8,19.9,71,15.54,7359.755
8/1/06,8.5,24,17.75,20.1,67.99999999,16.49,7672.97833
8/1/06,9,24.6,17.7,20.3,65,16.92,7885.53833
8/1/06,9.5,25.05,17.5,20.35,62.99999999,17,8180.59167
8/1/06,10,25.5,17.3,20.4,60.99999999,17,8207.2
8/1/06,10.5,25.75,17.3,20.5,60,17.8,8314.55333
8/1/06,11,26,17.3,20.6,59,17,8315.545
8/1/06,11.5,26.25,17.4,20.75,58.5,17.73,8479.37833
8/1/06,12,26.5,17.5,20.9,58,17,8396.08
8/1/06,12.5,26.3,17.6,20.85,59,16.97,8425.475
8/1/06,13,26.1,17.7,20.8,60.00000001,17,8376.13167
8/1/06,13.5,25.8,17.8,20.75,61.5,17,8362.39
8/1/06,14,25.5,17.9,20.7,63,18.51,8414.84
8/1/06,14.5,25.75,18.1,20.9,63,18.57,8427.64167
8/1/06,15,26,18.3,21.1,63,18.52,8471.81167
8/1/06,15.5,25.55,18.15,20.85,64,18.72,8488.78167
8/1/06,16,25.1,18,20.6,65.00000001,18.73,8470.81333
8/1/06,16.5,24.85,18.15,20.6,66.5,18.56,8375.91
8/1/06,17,24.6,18.3,20.6,68,19.27,8446.94333
8/1/06,17.5,24.25,18,20.3,68,19.45,8441.77667
8/1/06,18,23.9,17.7,20,68,19.18,8427.52
8/1/06,18.5,23.6,17.7,19.9,69.5,18.5,8326.58833
8/1/06,19,23.3,17.7,19.8,71.00000001,18.53,8305.4
8/1/06,19.5,23.2,17.8,19.85,72,18.4,8293.49833
8/1/06,20,23.1,17.9,19.9,73,18.81,8504.99667
8/1/06,20.5,22.95,17.7,19.7,72.5,17.68,8269.035
8/1/06,21,22.8,17.5,19.5,72,16.95,8039.49
8/1/06,21.5,22.65,17.4,19.4,72,16.97,7934.64167
8/1/06,22,22.5,17.3,19.3,72,16.52,7760.47667
8/1/06,22.5,22.35,17.25,19.2,72.5,16.8,7768.79
8/1/06,23,22.2,17.2,19.1,73,16.02,7495.17333
8/1/06,23.5,21.95,17.5,19.2,76.00000001,16.25,7251.59833
9/1/06,0,21.7,17.8,19.3,79,16.19,7091.32833
9/1/06,0.5,21.55,17.75,19.2,79,15.87,6887.23833
9/1/06,1,21.4,17.7,19.1,79.00000001,15.24,6693.86667
9/1/06,1.5,21.4,17.9,19.2,80,15.34,6438.89833
9/1/06,2,21.4,18.1,19.3,81,15.12,6262.655
9/1/06,2.5,21.35,18.25,19.4,82.5,13.1,6127.32167
9/1/06,3,21.3,18.4,19.5,84,13.86,6106.93667
9/1/06,3.5,21.15,18.45,19.45,85,12.6,6045.60667
9/1/06,4,21,18.5,19.4,86.00000001,12.99,6159
9/1/06,4.5,20.95,18.9,19.65,88.5,13.6,6357.79167
9/1/06,5,20.9,19.3,19.9,91,15.3,6657.63833
9/1/06,5.5,21.2,19.95,20.4,93.00000001,16.44,7141.33
9/1/06,6,21.5,20.6,20.9,95,16.76,7609.635
9/1/06,6.5,21.85,20.95,21.25,95,16.21,7991.81833
9/1/06,7,22.2,21.3,21.6,94.99999999,16.72,8429.16833
9/1/06,7.5,22.7,21.4,21.85,92.5,16.84,8828.15833
9/1/06,8,23.2,21.5,22.1,90,17.01,9164.19167
9/1/06,8.5,23.55,21.5,22.2,87.99999999,17.1,9566.97333
9/1/06,9,23.9,21.5,22.3,86,18.06,9741.02833
9/1/06,9.5,24.85,21.65,22.7,82.49999999,18.72,9898.785
9/1/06,10,25.8,21.8,23.1,78.99999998,18.84,9944.21
9/1/06,10.5,26.15,21.4,23,75.5,18.92,9977.89
9/1/06,11,26.5,21,22.9,72,19.13,10082.79667
9/1/06,11.5,27.1,20.8,22.95,68.49999999,19.84,10209.87167
9/1/06,12,27.7,20.6,23,65,19.96,10186.90167
9/1/06,12.5,27.5,20.7,23,66.5,20.87,10274.37667
9/1/06,13,27.3,20.8,23,67.99999999,24.59,10373.41333
9/1/06,13.5,27.7,20.7,23.05,66,26.45,10426.63667
9/1/06,14,28.1,20.6,23.1,64,26.03,10429.025
9/1/06,14.5,27.9,20.6,23.05,64.5,27.09,10488.28333
9/1/06,15,27.7,20.6,23,65,29.82,10555.83333
9/1/06,15.5,26.65,21.05,22.95,71.50000002,37.05,10614.42167
9/1/06,16,25.6,21.5,22.9,77.99999999,42.88,10643.02833
9/1/06,16.5,25.6,21.05,22.6,76,38.77,10569.46333
